#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),Note
2,0.075,0.103,2.15,1.57,20.11104644,9.7,6.451612903,S
3,0.112,0.083,7.25,1.97,16.98123651,10.1,5.555555556,S
4,0.137,0.071,5.625,3.91,22.54927333,8.9,6.666666667,S
5,0.087,0.116,1.65,1.61,44.57914734,7.8,5,S
6,0.129,0.051,7.25,2.43,41.65763113,7.3,5,S
7,0.111,0.084,7.25,1.9,17.32937435,10.1,5.555555556,S
8,0.051,0.101,3.85,3.26,35.53231878,11,6.060606061,S
9,0.141,0.126,2.675,2.65,24.24074181,6.6,5,S
10,0.13,0.058,6.975,2.51,33.46735412,7.3,5.405405405,S
11,0.08,0.09,5.475,3.48,29.05178721,6.1,5.714285714,S
12,0.056,0.096,6.65,1.25,43.07986175,8.4,6.060606061,S
13,0.113,0.08,7.35,1.96,16.98123651,10.6,5.555555556,S
14,0.074,0.114,5.825,2.08,18.05986686,5.1,5.128205128,S
15,0.105,0.116,4.725,2.8,19.67270519,7.4,6.25,S
16,0.091,0.061,3.5,3.8,32.5041107,5.2,5.882352941,S
17,0.078,0.14,3.25,2.59,21.03466049,10.9,6.25,S
18,0.098,0.089,1.975,1.37,20.5647837,5.9,5.882352941,S
19,0.11,0.081,7.475,1.94,16.98123651,10.2,5.555555556,S
20,0.089,0.112,5.35,3.22,21.52146625,11,5.882352941,S
21,0.112,0.083,7.5,2.04,17.68875167,10.2,5.555555556,S
22,0.081,0.142,4.325,1.3,29.85942045,7,5.405405405,S
23,0.114,0.08,7.45,2.03,16.6438662,10.2,5.714285714,S
24,0.096,0.085,2.9,1.82,23.65557963,9.7,5.263157895,S
25,0.118,0.08,7.5,1.99,16.6438662,10,5.714285714,S
26,0.066,0.09,4.25,1.67,24.24074181,11.7,5.128205128,S
27,0.116,0.077,7.175,2.09,16.6438662,10.1,5.555555556,S
28,0.106,0.069,1.9,1.02,18.83944762,7.7,5.405405405,S
29,0.115,0.075,7.35,2.02,16.6438662,10,5.555555556,S
30,0.128,0.068,5.875,1.64,34.4757813,9.4,6.666666667,S
31,0.112,0.08,7.325,1.89,16.6438662,10.2,5.555555556,S
32,0.06,0.057,5,1.44,32.5041107,7.3,6.060606061,S
33,0.116,0.08,7.425,1.96,16.98123651,10.1,5.555555556,S
34,0.061,0.065,2.525,1.85,25.48084162,10.5,6.060606061,S
35,0.114,0.078,7.45,2.06,16.6438662,9.8,5.555555556,S
36,0.083,0.117,5.6,1.53,23.09211617,9,5.714285714,S
37,0.112,0.077,7.475,1.93,16.6438662,10.2,5.555555556,S
38,0.054,0.052,6.225,3.74,22.02603983,5.4,5.405405405,S
39,0.113,0.08,7.15,1.98,16.6438662,10.1,5.555555556,S
40,0.135,0.128,2.05,2.35,23.65557963,5.2,5.128205128,S
1,0.135,0.15,2.95,1.5,11.42019956,22.5,5.405405405,CS
2,0.117,0.052,3.575,1,9.637657908,23.9,5.714285714,CS
3,0.128,0.074,3.7,1.09,9.781179695,23.2,5.714285714,CS
4,0.076,0.094,3.425,1.32,11.059739,25.5,6.25,CS
5,0.125,0.069,3.725,1.06,9.637657908,23.3,5.714285714,CS
6,0.098,0.116,2.575,1.1,12.4057901,23.6,5,CS
7,0.129,0.072,3.75,1.12,9.49738804,23.2,5.714285714,CS
8,0.123,0.131,3.225,1.24,11.79928721,22,6.666666667,CS
9,0.131,0.068,3.75,1.12,9.49738804,23.2,5.882352941,CS
10,0.112,0.085,2.65,1.36,10.23230973,22.9,6.060606061,CS
11,0.091,0.056,3.35,1.19,10.71668441,24.8,5.263157895,CS
12,0.107,0.105,2.525,1.41,9.928056609,22.2,6.451612903,TBD
13,0.085,0.063,3.35,1.18,10.88610828,24.8,5.263157895,CS
14,0.099,0.084,2.8,1.04,11.42019956,26,6.060606061,CS
15,0.098,0.116,2.575,1.1,12.4057901,23.6,5,TBD
16,0.088,0.059,3.325,1.21,10.55133019,24.7,5.405405405,CS
17,0.125,0.135,3.25,1.45,10.71668441,23.1,6.451612903,TBD
18,0.09,0.142,3.075,1.29,10.88610828,23,5.128205128,TBD
19,0.089,0.06,3.4,1.21,10.38991405,24.7,5.405405405,CS
20,0.104,0.133,2.85,1.07,9.226210932,22.8,5.555555556,CS
21,0.095,0.061,3.475,1.07,10.71668441,24.9,5.555555556,CS
22,0.08,0.135,2.775,1.05,10.07839603,24.4,6.666666667,CS
23,0.089,0.063,3.3,1.19,10.55133019,24.9,5.405405405,CS
24,0.101,0.09,3.625,1.26,10.23230973,25.7,5.263157895,CS
25,0.089,0.056,3.4,1.19,10.88610828,24.9,5.405405405,CS
26,0.092,0.124,2.525,1.41,12.61879199,25.2,5.882352941,TBD
27,0.091,0.063,3.35,1.22,10.55133019,24.9,5.263157895,CS
28,0.114,0.145,3.525,1.47,12.19833337,24.5,6.666666667,TBD
29,0.121,0.099,3.7,1.15,9.360270859,22.1,5.882352941,CS
30,0.087,0.11,2.6,1.35,11.6073345,23.6,5.128205128,TBD
31,0.088,0.064,3.3,1.2,10.55133019,24.9,5.405405405,CS
32,0.115,0.121,3.15,1.38,11.6073345,23.7,6.25,TBD
33,0.088,0.063,3.325,1.22,10.38991405,24.8,5.263157895,CS
34,0.107,0.081,3.1,1.31,10.07839603,24.1,5.128205128,TBD
35,0.119,0.092,2.725,1.43,11.79928721,25.8,5.555555556,TBD
1,0.079,0.0001,18.2,9.2,53.45471395,12,6.060606061,NT
2,0.071,0.00008,16.135,9.575,39.02366603,6.1,5.714285714,NT
3,0.063,0.00007,17.01,9.7,36.64013678,6.7,5.405405405,NT
4,0.05,0.00006,17.535,8.775,51.47122452,8.7,5.128205128,NT
5,0.064,0.00009,16.8,9.55,46.16126763,7.3,5.263157895,NT
6,0.078,0.00006,17.78,10,57.79683915,10.2,6.666666667,NT
7,0.076,0.00008,17.675,9.975,55.55980298,9.8,6.451612903,NT
8,0.058,0.0001,15.855,9.325,41.65763113,7.8,5,NT
9,0.078,0.00009,17.78,9.9,55.55980298,10.2,6.451612903,NT
10,0.053,0.00005,16.485,9,47.8325611,5,6.25,NT
11,0.076,0.00006,17.64,9.975,57.79683915,9.6,6.666666667,NT
12,0.068,0.00009,15.96,9.1,35.53231878,5.4,5.714285714,NT
13,0.078,0.00007,17.605,10,57.79683915,9.7,6.451612903,NT
14,0.056,0.00007,17.29,8.85,43.07986175,11.4,5,NT
15,0.064,0.00007,16.31,8.975,39.02366603,9.6,5.128205128,NT
16,0.067,0.00005,17.99,9.375,37.80267407,10.9,5.882352941,NT
17,0.055,0.00007,17.22,8.825,44.57914734,11.7,5,NT
18,0.06,0.00009,17.71,9.45,55.55980298,8.2,5.555555556,NT
19,0.055,0.00007,17.255,8.8,43.07986175,11.1,5,NT
20,0.059,0.00008,16.87,9.775,49.5999916,9.2,5.555555556,NT
21,0.058,0.00007,17.29,8.8,43.07986175,11.6,5,NT
22,0.074,0.00006,17.045,9.65,34.4757813,7.9,5.263157895,NT
23,0.057,0.00007,17.325,8.775,44.57914734,11.7,5,NT
24,0.07,0.00007,16.03,9.25,46.16126763,10.6,6.060606061,NT
25,0.055,0.00007,17.185,8.8,44.57914734,11.4,5,NT
26,0.08,0.00008,16.625,8.875,37.80267407,10.3,5.405405405,NT
27,0.056,0.00007,17.29,8.775,43.07986175,11.3,5,NT
28,0.069,0.00006,15.785,9.125,51.47122452,7,5.263157895,NT
29,0.079,0.00006,17.57,9.65,49.5999916,10.1,6.25,NT
30,0.066,0.00006,18.095,9.425,39.02366603,11.1,5.882352941,NT
31,0.054,0.00006,17.465,9.75,53.45471395,6.4,6.060606061,NT
32,0.073,0.00009,16.555,9.575,34.4757813,8,6.451612903,NT
33,0.059,0.00008,16.24,9.575,41.65763113,5.6,6.451612903,NT
34,0.068,0.00006,16.73,9.075,40.30717606,7.4,5.882352941,NT
35,0.052,0.00007,16.065,9.35,35.53231878,5.8,5.555555556,NT
36,0.072,0.00006,16.415,9.5,51.47122452,10.7,6.25,NT
37,0.075,0.00008,17.115,9.4,36.64013678,11.2,5.555555556,NT
38,0.062,0.00007,16.73,8.925,43.07986175,6,5.714285714,NT
39,0.051,0.0001,17.885,9.825,46.16126763,5,5.128205128,NT
40,0.077,0.00006,17.85,9.625,47.8325611,9,6.060606061,NT
