AVG_length=38.900324		
AVG_width=9.945946		
AVG_ar=3.951307		
		
STD_length=5.476710		
STD_width=1.846596		
STD_ar=0.365072		
Index	Length	Width
575	46.5712023	12.05708919
576	33.49216352	8.292561176
577	42.25182839	10.53652796
578	41.24223779	9.576682472
579	37.80808182	10.31958149
580	35.63494299	8.973447167
581	44.41261864	12.10571747
582	41.02852315	9.552875222
583	40.22028612	10.92804184
584	36.66159095	9.992600008
585	41.56422114	10.5316006
586	34.33634718	8.367116389
587	35.30155197	8.864073083
588	36.01668333	8.92598359
589	33.58232152	8.570972666
590	39.1404135	9.48377768
591	41.26174323	10.40969682
592	35.85243381	8.25644229
593	27.79762507	7.474062973
594	38.20113407	8.219032236
595	49.62261455	12.54274959
596	40.26961385	10.12916617
597	37.43993075	8.93278239
598	35.20445362	9.554237688
599	40.05142774	7.674135258
600	36.5114428	9.337880341
601	35.61453409	7.286819104
602	42.91556282	11.6733983
603	40.95308686	10.95183556
604	40.38199181	10.91405184
605	35.68001574	8.845045394
606	38.61303395	9.897456358
607	43.0795209	9.705957514
608	29.59923009	7.715391235
609	32.1412361	8.579705877
610	26.24068319	6.484418091
611	31.35290835	7.528775516
612	38.5993614	9.893411634
613	34.94168603	9.12230571
614	44.7986431	12.05661768
615	36.81379581	8.542728814
616	39.06597226	10.53953704
617	39.54645133	9.71193821
618	36.8165145	9.324423255
619	39.44774175	10.77959131
620	39.45078934	10.69595316
621	39.81991881	10.72938927
622	37.0423987	10.1300894
623	41.81548115	11.00160045
624	29.56993863	7.958714276
625	37.29568627	10.10417236
626	46.2168112	12.5931369
627	38.55745698	10.50006195
628	39.02578731	9.993372315
629	38.95898587	8.807547909
630	39.8030821	10.33128892
631	35.72122488	9.232295974
632	35.12411287	8.129675164
633	34.14895759	8.114209767
634	36.1515602	9.638167273
635	45.7228053	13.3053414
636	35.69338852	9.004037605
637	39.87897636	9.683240029
638	37.79915137	9.612985067
639	44.57566494	9.606796202
640	45.64343878	15.66982608
641	41.0119529	10.00757777
642	40.03554028	10.51544356
643	25.92086896	6.82128136
644	37.48489526	9.505976824
645	40.91226492	9.780585067
646	30.95959797	7.70821721
647	41.15653045	11.03533111
648	38.56739081	8.603473575
649	34.20127255	7.233212459
650	37.65161366	9.33574765
651	38.97287075	10.61142405
652	44.12825976	10.49360871
653	39.29134437	10.61598399
654	36.89018135	9.148370553
655	41.4777394	9.685734935
656	46.71139164	12.17141874
657	37.70843131	9.766559679
658	26.58024849	6.917701607
659	34.00502328	7.721212161
660	42.459248	8.474263065
661	45.71693077	13.23832555
662	46.44506853	13.50946361
663	45.61571899	10.12571785
664	42.4380897	9.790611527
665	33.42574928	7.444247965
666	36.23306254	9.858642203
667	38.60899963	9.814232466
668	40.98675612	8.280652347
669	54.36536677	15.01535725
670	42.8077729	10.96924786
671	38.79156802	9.548325688
672	38.08861039	10.00306883
673	37.19511566	10.01824643
674	40.75561357	11.10407477
675	38.51705554	9.956105897
676	44.33122039	11.94964379
677	38.55957198	10.21981857
678	34.52662615	8.436301883
679	40.2289751	10.52830112
680	35.70140303	9.148584967
