11	14.7	14.8	21.6	24.2	0	8.4	8.2	36.0	10.35	2	884.0	196.78	0.06	2.62	[[0.005065, 7.0, 9.388249999999992, 64.26487999999999, 0.24049999999999994, 0.0020450000000000017], [0.02295499999999999, 9.0, 5.745750000000001, 0.5257350000000001, 0.24049999999999994, 0.0020450000000000017]]
12	12.3	6.6	12.4	10.7	0	12.0	5.3	34.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
13	14.9	14.9	20.2	24.4	0	8.3	8.7	36.0	11.1	2	873.0	180.3	0.06	3.85	[[0.0023949999999999944, 0.5, 0.17624999999999602, 0.07829999999999959, 0.01100000000000012, 0.002194999999999999], [0.012204999999999994, 1.0, 2.6907500000000084, 0.076345, 0.01100000000000012, 0.002194999999999999]]
14	8.8	12.6	36.6	16.9	0	11.6	12.6	30.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
15	14.4	14.8	20.1	24.8	0	8.6	8.9	36.0	10.33	2	882.5	195.85	0.05	3.43	[[0.003105, 0.0, 0.5287500000000023, 1.0849399999999998, 1.2795000000000005, 0.0024449999999999993], [0.012720000000000009, 2.5, 1.1515000000000128, 0.09897, 1.2795000000000005, 0.0024449999999999993]]
16      7.5     10.6    44.5    11.8    0       8.5     15.6    33.0      0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
17	14.7	15.5	19.0	24.5	0	8.8	8.6	36.0	7.67	2	868.5	187.92	0.052	2.98	[[1.0000000000003062e-05, 3.5, 5.3344999999999985, 2.31911, 1.1835, 0.005065], [0.02391, 14.5, 3.5602499999999964, 0.021589999999999998, 1.1835, 0.005065]]
18	5.9	20.0	32.2	13.1	0	8.1	19.4	32.0	0.61	1	528.0	117.49	0.026	1.63	[[0.00324, 0.0, 0.8107500000000059, 5.771159999999999, 0.142, 0.0024749999999999998]]
19	14.3	15.0	20.4	24.6	0	8.5	8.1	37.0	10.97	2	874.5	182.2	0.051	3.58	[[0.0025899999999999986, 10.5, 8.789000000000001, 18.33768, 1.0730000000000004, 0.00937], [0.026984999999999995, 4.5, 0.07050000000000978, 0.03899, 1.0730000000000004, 0.00937]]
20	10.8	17.4	24.7	24.1	0	9.4	6.3	39.0	6.06	2	842.5	160.43	0.021	2.39	[[0.008905, 5.5, 6.66225, 31.587065, 0.6835000000000004, 0.00238], [0.013250000000000001, 9.5, 3.1255000000000024, 0.1879, 0.6835000000000004, 0.00238]]
21	14.0	14.9	21.8	24.8	0	8.7	7.6	37.0	10.85	2	875.0	183.52	0.041	2.86	[[0.006984999999999998, 2.5, 3.031499999999994, 22.383589999999998, 0.9459999999999997, 0.006495000000000001], [0.01407, 9.0, 1.4452500000000015, 0.01805000000000001, 0.9459999999999997, 0.006495000000000001]]
22	8.2	16.3	14.1	22.3	0	7.6	19.7	34.0	0.858	1	519.5	100.0	0.055	1.59	[[0.000905000000000003, 1.5, 2.5732499999999945, 0.07398499999999997, 0.07600000000000001, 0.002284999999999999]]
23	14.4	15.2	19.4	24.0	0	8.5	8.1	36.0	10.92	2	880.0	185.14	0.046	3.17	[[0.0056850000000000026, 13.5, 16.8495, 152.102695, 0.8765000000000001, 0.0017449999999999998], [0.033624999999999995, 4.0, 5.393250000000009, 0.046375, 0.8765000000000001, 0.0017449999999999998]]
24	7.0	18.9	30.2	20.6	0	10.2	12.4	32.0	1.45	1	530.0	104.62	0.026	1.25	[[0.0003499999999999996, 2.0, 3.8305000000000007, 5.582465, 0.14749999999999996, 0.0002249999999999995]]
25	14.8	14.7	18.3	24.3	0	8.8	7.6	37.0	9.14	2	853.5	189.63	0.047	1.56	[[0.0014549999999999997, 1.0, 5.111249999999998, 82.857605, 1.0325000000000006, 0.0012400000000000015], [0.010085000000000004, 15.5, 8.001749999999987, 0.317245, 1.0325000000000006, 0.0012400000000000015]]
26	6.5	10.1	26.3	15.3	0	9.7	19.1	35.0	7.41	2	793.0	148.5	0.013	1.15	[[0.0012399999999999998, 1.0, 5.346250000000001, 0.83622, 1.7645, 0.0013], [0.0008249999999999993, 2.0, 8.600999999999999, 2.9538550000000003, 1.7645, 0.0013]]
27	14.7	15.0	20.2	24.7	0	8.6	8.4	36.0	9.08	2	869.0	192.45	0.041	1.96	[[0.001214999999999999, 0.5, 0.3760000000000048, 2.718175, 0.9584999999999999, 0.0007799999999999994], [0.00136, 0.0, 3.6072500000000076, 0.15088000000000001, 0.9584999999999999, 0.0007799999999999994]]
28	11.2	7.5	33.7	24.7	0	11.4	11.4	32.0	1.7585	1	530.0	246.22	0.028	1.05	[[0.0017099999999999997, 4.0, 119.06275, 99.67098999999999, 0.26549999999999996, 0.0037599999999999995]]
29	14.8	14.9	18.2	24.8	0	8.4	8.2	36.0	8.34	2	834.5	179.25	0.026	3.65	[[0.005375, 1.5, 0.14100000000000534, 1.8876099999999998, 1.698, 0.00302], [0.029279999999999994, 3.5, 0.8342499999999973, 0.31262, 1.698, 0.00302]]
30	7.1	6.6	34.5	15.9	0	10.9	16.6	33.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
31	14.1	15.2	19.5	24.6	0	8.5	7.6	36.0	7.68	2	857.5	175.38	0.03	2.49	[[0.00034, 0.0, 0.38774999999999693, 7.524765000000001, 0.7840000000000003, 0.006055000000000001], [0.00392, 2.5, 6.251000000000005, 0.05808499999999994, 0.7840000000000003, 0.006055000000000001]]
32	10.3	13.3	38.2	23.0	0	9.3	14.9	33.0	3.62	2	751.0	203.8	0.044	1.4	[[0.003955, 1.0, 1.0692500000000038, 1.3510349999999998, 0.367, 0.003599999999999999], [0.0038600000000000023, 3.0, 9.24724999999998, 169.83512000000002, 0.367, 0.003599999999999999]]
33	14.0	15.4	19.7	24.4	0	8.7	7.8	36.0	10.0	2	861.0	182.76	0.029	2.36	[[0.002705000000000001, 3.0, 0.3055000000000021, 2.407045, 1.8504999999999994, 0.00033500000000000023], [0.005030000000000003, 1.0, 6.533000000000001, 0.416385, 1.8504999999999994, 0.00033500000000000023]]
34	6.2	11.9	20.5	13.7	0	8.3	10.7	38.0	6.703	1	811.0	136.14	0.012	1.3	[[0.0035250000000000012, 12.0, 0.6814999999999998, 3.251255, 2.358, 0.0014000000000000002]]
